flight_id,date,terminal,aircraft_type,arrival_time,departure_time,turnaround_time_min,delay_minutes,total_workload_minutes,risk_flag
FL000001,01/01/2024,T1,Wide Body,9:49:00 PM,10:38:00 PM,49,5,832,Normal
FL000002,01/01/2024,T3,Narrow Body,7:37:00 AM,8:29:00 AM,52,0,510,Normal
FL000003,01/01/2024,T1,Narrow Body,8:09:00 PM,9:38:00 PM,89,0,172,Normal
FL000004,01/01/2024,T3,Narrow Body,7:27:00 AM,8:31:00 AM,64,5,438,Normal
FL000005,01/01/2024,T3,Wide Body,10:10:00 PM,12:14:00 AM,124,5,535,Normal
FL000006,01/01/2024,T2,Narrow Body,3:19:00 PM,5:09:00 PM,110,0,287,Normal
FL000007,01/01/2024,T2,Wide Body,11:49:00 PM,1:18:00 AM,89,0,597,Normal
FL000008,01/01/2024,T2,Narrow Body,7:20:00 AM,9:32:00 AM,132,0,592,Normal
FL000009,01/01/2024,T2,Wide Body,12:58:00 PM,1:45:00 PM,47,10,521,Normal
FL000010,01/01/2024,T2,Narrow Body,1:28:00 AM,3:36:00 AM,128,20,496,High Risk
FL000011,01/01/2024,T2,Wide Body,2:41:00 AM,4:26:00 AM,105,5,528,Normal
FL000012,01/01/2024,T3,Narrow Body,2:22:00 AM,3:02:00 AM,40,10,287,Normal
FL000013,01/01/2024,T1,Wide Body,2:43:00 AM,3:47:00 AM,64,10,707,Normal
FL000014,01/01/2024,T2,Narrow Body,3:28:00 PM,5:24:00 PM,116,15,592,Normal
FL000015,01/01/2024,T3,Wide Body,12:07:00 PM,1:08:00 PM,61,0,520,Normal
FL000016,01/01/2024,T1,Narrow Body,8:47:00 PM,10:43:00 PM,116,0,512,Normal
FL000017,01/01/2024,T2,Narrow Body,3:46:00 PM,5:09:00 PM,83,15,747,Normal
FL000018,01/01/2024,T1,Wide Body,1:54:00 AM,2:58:00 AM,64,20,356,High Risk
FL000019,01/01/2024,T1,Wide Body,9:08:00 AM,9:51:00 AM,43,5,501,Normal
FL000020,01/01/2024,T2,Wide Body,10:22:00 PM,12:00:00 AM,98,0,399,Normal
FL000021,01/01/2024,T1,Wide Body,9:02:00 AM,9:54:00 AM,52,20,491,High Risk
FL000022,01/01/2024,T2,Narrow Body,7:55:00 PM,9:21:00 PM,86,0,618,Normal
FL000023,01/01/2024,T1,Narrow Body,5:23:00 PM,7:01:00 PM,98,0,321,Normal
FL000024,01/01/2024,T1,Wide Body,5:13:00 AM,7:08:00 AM,115,0,532,Normal
FL000025,01/01/2024,T3,Wide Body,1:08:00 PM,2:31:00 PM,83,10,737,Normal
FL000026,01/01/2024,T3,Narrow Body,6:53:00 PM,7:29:00 PM,36,10,351,Normal
FL000027,01/01/2024,T1,Wide Body,9:52:00 PM,11:10:00 PM,78,20,934,High Risk
FL000028,01/01/2024,T1,Wide Body,5:23:00 AM,6:56:00 AM,93,0,548,Normal
FL000029,01/01/2024,T3,Wide Body,5:19:00 PM,6:07:00 PM,48,5,730,Normal
FL000030,01/01/2024,T1,Narrow Body,5:13:00 AM,6:35:00 AM,82,15,560,Normal
FL000031,01/01/2024,T1,Wide Body,4:40:00 PM,5:17:00 PM,37,10,541,Normal
FL000032,01/01/2024,T1,Narrow Body,8:10:00 AM,8:52:00 AM,42,0,352,Normal
FL000033,01/01/2024,T1,Narrow Body,4:35:00 PM,6:54:00 PM,139,0,509,Normal
FL000034,01/01/2024,T3,Narrow Body,10:31:00 PM,12:06:00 AM,95,10,275,Normal
FL000035,01/01/2024,T2,Narrow Body,6:00:00 PM,7:52:00 PM,112,5,769,Normal
FL000036,01/01/2024,T3,Wide Body,10:38:00 AM,12:04:00 PM,86,30,588,High Risk
FL000037,01/01/2024,T1,Narrow Body,5:39:00 PM,7:11:00 PM,92,5,402,Normal
FL000038,01/01/2024,T1,Narrow Body,2:11:00 AM,3:29:00 AM,78,5,383,Normal
